Время;Работа;Расширенная информация;Ссылка;Компания;Город
" 15 часов назад
";Senior Video Software Engineer (С++);" Codeminders is looking for a Senior Video Software Engineer (С++)Requirements:BS or MS in Computer Science or related fieldSignificant experience in C/C++Knowledge...
";https://rabota.ua/company394872/vacancy7523628;Codeminders;Киев
" 1 день назад
";Big Data Engineer, Multinational Financial Services;" DataArt's specialists participate in data governance and data improvement processes for one of the top three UK insurance companies. Our team helps the...
";https://rabota.ua/company277662/vacancy8011487;DataArt;Днепр
" 1 день назад
";Golang Developer, Traffic Management Solutions;" The client is the market leader in the development of DNS server software for traffic management. The DNS system created by this company is connected via...
";https://rabota.ua/company277662/vacancy7998918;DataArt;Днепр
" 1 день назад
";Golang Developer, Traffic Management Solutions;" The client is the market leader in the development of DNS server software for traffic management. The DNS system created by this company is connected via...
";https://rabota.ua/company277662/vacancy7994830;DataArt;Киев
" 1 день назад
";Senior BigData Engineer, Financial Software Solutions;" Our client is a New York City-based FinTech Company that is building a trading and risk software platform for the investment banking industry.The BigData...
";https://rabota.ua/company277662/vacancy7931153;DataArt;Киев
" 1 день назад
";Senior Python Engineer.;" Codeminders is looking for a Senior Python Engineer.Requirements:Experience in designing, building and debugging large distributed systemsProficiency in...
";https://rabota.ua/company394872/vacancy7996784;Codeminders;Киев
" 1 день назад
";DevOps;" ООО «Региональная газовая компания» приглашает на работу в команду DevOps Необходимые навыки:Опыт разработки на любом высокоуровневом языке программирования...
";https://rabota.ua/company1902638/vacancy8003027;Регіональна газова компанія;Киев
" 2 дня назад
";Golang Developer, Software Solutions (Relocation to Poland/Bulgaria);" For this project, we need a person who is ready to move to Poland (Lublin or Wroclaw) or Bulgaria (Sofia) and work from our local office. We will help...
";https://rabota.ua/company277662/vacancy8008776;DataArt;Харьков
" 15 часов назад
";Senior Python Engineer;" Intel 471 is looking for a Senior Python Engineer for our office in Kyiv.The ideal candidate has previous experience developing high-volume data engineering...
";https://rabota.ua/company6209095/vacancy7542088;Intel 471;Киев
" 15 часов назад
";Automation QA Engineer;" We are looking for an Automation QA Engineer to join our Kharkiv team! Our ideal candidate has at least 2+ years' of experience in a similar role. You...
";https://rabota.ua/company6228708/vacancy7967404;GeoGuard;Харьков
" 1 день назад
";Middle Full stack (Python+React) developer;" We are looking for Full stack developer. You will be involved in a project developed by the US product company. Requirements:2+ years of experience with...
";https://rabota.ua/company1260877/vacancy7783702;Quintagroup;Львов
" 1 день назад
";Data Scientist (Machine Learning Engineer);" Направление Data Science (IT департамент) приглашает в команду опытного специалиста в машинном обучении на Python, способного находить оптимальные решения...
";https://rabota.ua/company511842/vacancy7696026;EVA - линия магазинов;Днепр
" 1 день назад
";Начальник відділу аналітики даних Управління моделювання ризиків Департамен...;" З метою посилення команди, АБ «Укргазбанк» запрошує взяти участь в конкурсі на заміщення вакантної посади ""Начальник відділу аналітики даних Управління...
";https://rabota.ua/company39216/vacancy7502960;УКРГАЗБАНК АБ;Киев
" 1 день назад
";Спеціаліст з підтримки та розробки ПЗ телефонії;" Вимоги:php, REST, Linux, bash, SQL, noSQL, git, pythonбажано досвід роботи з: VoIP - Kamailio та принципи комутації SIP трафіку- Asterisk та створення...
";https://rabota.ua/company203681/vacancy8009114;ПриватБанк;Днепр
" 1 день назад
";Build Engineer;" Wargaming development studio based in Kyiv is looking to hire a Build Engineer to work on World of Warplanes.What you will do:Develop and support the internal...
";https://rabota.ua/company133752/vacancy7994877;Wargaming;Киев
" 1 день назад
";Middle Python Developer;" ELEKS Software Engineering and Development Office is looking for Middle Python Developer in our Lviv Office. ABOUT CLIENTCustomer created an integrated...
";https://rabota.ua/company117264/vacancy8003222;ELEKS;Львов
" 1 день назад
";Middle Python developer;" Requirements:3+ years of commercial development on PythonExperience in SW development for various embedded systemsFamiliarity with Amazon Web Services...
";https://rabota.ua/company4108505/vacancy8016182;Jabil Software Services;Харьков
" 1 день назад
";Game mathematician;" Required skillsUniversity degree in mathematics, computer science, technology, engineering or equivalent working experience;Scripting skills in Python...
";https://rabota.ua/company6966486/vacancy7818996;Booongo;Киев
" 1 день назад
";Senior Python developer;" Группа компаний, оперирующая в сфере e-commerce, транзакционного бизнеса и финансовых сервисов приглашает присоединиться в ряды своей команды Senior Python...
";https://rabota.ua/company6076366/vacancy8016050;4bill.io;Киев
" 1 день назад
";Python Senior Engineer #7339;" Purpose of the job:Our customer is a global management consulting firm. Its clients are leading organization in public, private and social sectors all...
";https://rabota.ua/company598120/vacancy7988295;Lohika;Одесса
" 1 день назад
";Senior Python Developer;" BINTIME is an IT software development company founded in 2005. During last years about 100 experts joined our company. Operating in 3 cities with the center...

";https://rabota.ua/company874857/vacancy7988264;BINTIME;Киев
" 1 день назад
";Senior Front End Developer for SimilarWeb;" On behalf of SimilarWeb, Ciklum is looking for Senior Front End Developer to join Kyiv team on a full-time basis.Why choose SimilarWeb?We believe that...
";https://rabota.ua/company209907/vacancy8015956;Ciklum;Киев
" 2 дня назад
";Senior .NET Developer for SimilarWeb;" On behalf of SimilarWeb, Ciklum is looking for Senior .NET Developer to join Kyiv team on a full-time basis.Why choose SimilarWeb?We believe that building...
";https://rabota.ua/company209907/vacancy8015921;Ciklum;Киев
" 2 дня назад
";Senior Data Engineer #7098;" Purpose of the job:Our customer takes the leading position in advanced data analytics and engineering expertise. Therefore, it is a huge infrastructure...
";https://rabota.ua/company598120/vacancy7936303;Lohika;Одесса
" 2 дня назад
";Python Developer;" Компания RONIS находится в поиске коллеги - Python разработчика для участия в интересных долгосрочных веб проектах с использованием новых технологий. Необходимые...
";https://rabota.ua/company791450/vacancy8002687;Ronis Business Tools;Харьков
" 2 дня назад
";Python Developer;" Національна енергетична компанія «Укренерго» запрошує прийняти участь в конкурсі на заміщення вакантної посади Python DeveloperМи пропонуємо стати частиною...
";https://rabota.ua/company2263870/vacancy7929266;НЕК Укренерго;Киев
" 2 дня назад
";Middle Python developer;" Національна енергетична компанія «Укренерго» запрошує прийняти участь в конкурсі на заміщення вакантної посади Middle Python developerМи пропонуємо стати...
";https://rabota.ua/company2263870/vacancy7929271;НЕК Укренерго;Киев
" 2 дня назад
";Data Engineer;" Onseo - is an outsourcing company with offices in Kyiv, Vinnytsia, and Khmelnytskyi.For now, we are looking for a Data Engineer who can help us to do our...
";https://rabota.ua/company4043863/vacancy8015600;Onseo;Киев
" 2 дня назад
";Программист Python;" Hicell Telecommunications - молодая и успешная компания в сфере телекоммуникационных услуг. Мы ведем свою деятельность по всему миру, включая страны Европы,...
";https://rabota.ua/company7461015/vacancy7931390;Hicell Telecommunication;Киев
" 2 дня назад
";Senior Data Engineer;" We focus on developing financial high secured web applications, which include a big amount of different transactions, currencies, balances and integrated...
";https://rabota.ua/company848888/vacancy7950818;Squro, IT компания;Киев
" 2 дня назад
";Senior Data Scientist (NLP);" Unicheck's R&D team is looking for Middle Data Scientist with NLP background to help us create new solutions for the product. Unicheck is an international...
";https://rabota.ua/company1884618/vacancy7866333;Unicheck;Киев
" 2 дня назад
";"Преподаватель по курсу ""Создание web-приложений c использованием Pytho...";" Требования:Уверенное владение технологиями: Python,HTML5, CSS3, javaScript, jQuery.Умение четко и доступно объяснить материал. Обязанности:Предоставляется...
";https://rabota.ua/company2972039/vacancy6716861;Шаг, Компьютерная Академия;Одесса
" 2 дня назад
";Преподаватель Python;" В Международной Компьютерной Академии ШАГ, крупнейшем учебном заведении с 95 филиалами в 20 странах мира и самыми современными программами компьютерного...
";https://rabota.ua/company2972039/vacancy7454062;Шаг, Компьютерная Академия;Киев
" 2 дня назад
";Data Analyst (Python);" Vodafone Україна - компанія світового рівня, що займає провідні позиції у сфері технологій та телекомунікацій, впроваджує інновації у всіх напрямках діяльності....
";https://rabota.ua/company806/vacancy8013923;Vodafone Україна ;Киев
" 2 дня назад
";Senior Embedded SW Engineer;" We are looking for a professional Embedded Software Engineer with strong Python knowledge and experience of development firmware with C for RTOS &...
";https://rabota.ua/company3135922/vacancy8014654;Sirin Software;Киев
" 2 дня назад
";Python Developer (Junior);" Мы финансовая компания, работающая на рынке более 10 лет. Сотрудничаем со всеми крупнейшими торговыми сетями Украины.Приглашаем тебя в свою команду!Что...
";https://rabota.ua/company1026285/vacancy7993640;Сучасний факторинг, ТОВ ;Киев
" 2 дня назад
";Golang Developer, Software Solutions (Relocation to Poland/Bulgaria);" For this project, we need a person who is ready to move to Poland (Lublin or Wroclaw) or Bulgaria (Sofia) and work from our local office. We will help...
";https://rabota.ua/company277662/vacancy8008387;DataArt;Львов
" 2 дня назад
";Big Data Engineer, Multinational Financial Services;" DataArt's specialists participate in data governance and data improvement processes for one of the top three UK insurance companies. Our team helps the...
";https://rabota.ua/company277662/vacancy8008437;DataArt;Львов
" 3 дня назад
";Провідний спеціаліст з тестів на проникнення;" Посадові обов'язки:проводити зовнішнє, внутрішнє тестування на проникнення інформаційних систем банкуаналіз загроз і захищеності web-додатків та інфраструктурипроведення...
";https://rabota.ua/company203681/vacancy7986908;ПриватБанк;Днепр
" 3 дня назад
";Middle C++/Python developer;" Playson is a leading online gaming supplier, founded in 2012, which has developed worldwide recognition in the industry. We offer complete gaming solutions...
";https://rabota.ua/company6949158/vacancy8008217;Playson;Киев
" 3 дня назад
";Программист Python;" We are a London based business looking for a Python Django Developer to assist us on a financial software project. You'll be working alongside the lead...
";https://rabota.ua/company9840677/vacancy8014446;Doddled Limited;Полтава
